Subscription,SUC
93923248,992.99
1.02E+08,1009.27
1.11E+08,996.64
1.19E+08,958.24
1.28E+08,988.19
1.37E+08,997.76
1.43E+08,975.03
1.53E+08,1084.1
1.62E+08,1097.04
1.69E+08,1178.02
1.73E+08,1156.84
1.76E+08,1212.22
1.81E+08,1201.43
1.87E+08,1246.61
1.86E+08,1257.23
1.82E+08,1229.2
1.88E+08,1259.55
1.91E+08,1369
1.93E+08,1362.58
1.98E+08,1416.37
2.05E+08,1444.58
2.09E+08,1607.01
2.12E+08,1582.01
2.17E+08,1628.41
2.26E+08,1638.97
2.31E+08,1776.84
2.35E+08,1688.13
2.43E+08,1713.17
2.51E+08,1755.18
2.56E+08,1865.8
2.60E+08,1775.43
2.66E+08,1598.73
2.74E+08,1463.99
2.81E+08,1438.04
2.82E+08,1333.08
2.90E+08,1131.5
